feature,canon_n,canon_mean,canon_std,canon_p01,canon_p25,canon_median,canon_p75,canon_p99,canon_min,canon_max,canon_zero_fraction,lab_n,lab_mean,lab_std,lab_p01,lab_p25,lab_median,lab_p75,lab_p99,lab_min,lab_max,lab_zero_fraction,ks_statistic,abs_standardized_diff,median_diff,median_ratio,pct_lab_outside_canon_iqr,pct_lab_outside_canon_p01_p99,canon_constant,lab_constant
Fwd IAT Max,1180,1263986.8559322034,1239132.7264595663,0.0,0.0,2021701.0,2421314.5,2905064.8300000005,0.0,5059936.0,0.47203389830508474,69,1.8472988847373188,0.5157832960593913,0.03371159553527832,1.7225348949432373,1.93497633934021,2.1250274181365967,2.5542718791961665,0.03332233428955078,2.6061222553253174,0.0,0.5279661016949152,1.4425772991668997,-2021699.0650236607,9.571031222422159e-07,0.0,0.0,False,False
Fwd IAT Min,1180,237.51610169491525,1105.607325507258,0.0,0.0,17.5,386.0,907.3600000000006,0.0,37337.0,0.47203389830508474,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5279661016949152,0.3038135552736362,-17.5,0.0,0.0,0.0,False,True
Flow IAT Std,1180,346905.656753374,673360.4053166601,0.0,0.0,549641.61515,634039.326325,730518.8271390001,0.0,20700000.0,0.4728813559322034,69,0.33872924013967093,0.09528827733464597,0.007248553948487164,0.3164388651811865,0.35393759415197157,0.3859210720306428,0.47364948213987695,0.006414588243139827,0.48373937038577874,0.0,0.5271186440677966,0.7285819031464497,-549641.2612124059,6.439424970676215e-07,0.0,0.0,False,False
Bwd IAT Total,1180,6451430.943220339,6998835.2932110345,0.0,0.0,10600000.0,12200000.0,14200000.0,0.0,120000000.0,0.4754237288135593,69,1.9586628519970437,0.5194303019897913,0.12476653099060059,1.8315093517303467,2.022387981414795,2.2498538494110107,2.6722514343261716,0.11491227149963379,2.7147538661956787,0.0,0.5245762711864407,1.3036023830276686,-10599997.977612019,1.9079131900139575e-07,0.0,0.0,False,False
Bwd IAT Mean,1180,211318.6800990678,301099.13498502615,0.0,0.0,347033.76765,393150.997325,453888.585074,0.0,7987775.6,0.4754237288135593,69,0.15007724737661585,0.040378149015006116,0.007797908186912537,0.14088533474848822,0.15334569490872896,0.1730656807239239,0.20555780264047474,0.007182016968727112,0.20882722047659066,0.0,0.5245762711864407,0.9925286937555093,-347033.6143043051,4.41875428858512e-07,0.0,0.0,False,False
Bwd IAT Max,1180,1330380.7788135593,3520915.808300769,0.0,0.0,2021102.5,2391788.0,2840251.05,0.0,115000000.0,0.4754237288135593,69,1.8112625039142112,0.5062284967778471,0.0412559700012207,1.6804296970367432,1.900693416595459,2.0684072971343994,2.5135762596130364,0.04086184501647949,2.5666158199310303,0.0,0.5245762711864407,0.5343609678399557,-2021100.5993065834,9.404240589457779e-07,0.0,0.0,False,False
Bwd IAT Min,1180,8.007627118644068,69.00615872389261,0.0,0.0,3.0,3.0,48.0,0.0,1799.0,0.4754237288135593,69,0.00046470199806102806,0.00035138191840375957,2.384185791015625e-07,7.152557373046875e-07,0.0005295276641845703,0.000759124755859375,0.0011055278778076168,2.384185791015625e-07,0.0011429786682128906,0.0,0.5245762711864407,0.1640989426886814,-2.9994704723358154,0.00017650922139485678,0.0,0.0,False,False
Fwd IAT Std,1180,470800.5917729524,456397.0285453496,0.0,0.0,777851.0398500001,904625.071375,1044999.2105200001,0.0,1134437.079,0.47711864406779664,69,0.4841688009360158,0.13634436928337143,0.010154125910641746,0.4567239183095757,0.503156185654737,0.5532211211425806,0.678091977190005,0.009054823467496729,0.6921035432579469,0.0,0.5228813559322034,1.4588436288960542,-777850.5366938144,6.468541660004273e-07,0.0,0.0,False,False
Bwd IAT Std,1180,434330.72284061584,940154.3597002915,0.0,0.0,684866.96395,787851.323575,906132.8075270001,0.0,29700000.0,0.48050847457627116,69,0.47908463865876993,0.13411484865097245,0.01169326071414575,0.44470860345664204,0.5004770797352402,0.5483252074610455,0.6664896640051573,0.010688580633189915,0.6808069639866516,0.0,0.5194915254237288,0.6533349709342612,-684866.4634729202,7.307653983610436e-07,0.0,0.0,False,False
Fwd Header Length,1180,371.4542372881356,327.9007504460189,32.0,32.0,616.0,680.0,776.0,32.0,1092.0,0.0,69,293.6231884057971,26.48330152000097,280.0,280.0,280.0,300.0,400.0,280.0,400.0,0.0,0.5186440677966102,0.334590479800739,-336.0,0.45454545454545453,0.0,0.0,False,False
Bwd Header Length,1180,551.0813559322033,501.04824033612186,32.0,32.0,1000.0,1032.0,1064.0,0.0,1356.0,0.000847457627118644,69,284.3478260869565,14.393865528040738,280.0,280.0,280.0,280.0,340.0,280.0,340.0,0.0,0.5186440677966102,0.7525475354237144,-720.0,0.28,0.0,0.0,False,False
Bwd Packets/s,1180,7170.620329366817,8588.082356099863,2.2717985231,2.62475819375,2.9648755615000004,13157.89474,30303.0303,0.0,55555.55556,0.000847457627118644,69,13.814700115839754,28.228925886962593,5.236355626911142,6.2159411944039835,7.0202575151218225,7.639005486998787,135.71490601148565,5.15439333309516,146.67449993006014,0.0,0.5186440677966102,1.1785165172445309,4.055381953621822,2.3678084862253406,0.0,0.0,False,False
Flow Packets/s,1180,14348.655669577749,17172.718666776902,3.75536606014,4.35099915925,5.019403212,26315.78947,60606.06061,0.267074585,111111.1111,0.0,69,28.863111662047302,60.77982546602156,10.472711253822284,12.691380241020623,14.040515030243645,15.283925849444401,290.1572033171236,10.30878666619032,319.2327351418956,0.0,0.5177966101694915,1.1792610359540336,9.021111818243645,2.7972478872939854,0.0,0.0,False,False
Fwd Packets/s,1180,7178.035339975369,8585.282429671086,1.45237187826,1.7253811715,2.008910466,13157.89474,30303.0303,0.133537293,55555.55556,0.0,69,15.048411546207548,32.557333000388795,5.236355626911142,6.345690120510311,7.143918923686684,7.877940748537952,154.442297305638,5.15439333309516,172.55823521183547,0.0,0.5177966101694915,1.1799169690036966,5.135008457686684,3.5561161358829234,0.0,0.0,False,False
Total Backward Packets,1180,17.086440677966102,15.522350835708485,1.0,1.0,31.0,32.0,33.0,0.0,41.0,0.000847457627118644,69,14.217391304347826,0.719693276402037,14.0,14.0,14.0,14.0,17.0,14.0,17.0,0.0,0.5169491525423728,0.26111343751776617,-17.0,0.45161290322580644,0.0,0.0,False,False
Subflow Bwd Packets,1180,17.086440677966102,15.522350835708485,1.0,1.0,31.0,32.0,33.0,0.0,41.0,0.000847457627118644,69,14.217391304347826,0.719693276402037,14.0,14.0,14.0,14.0,17.0,14.0,17.0,0.0,0.5169491525423728,0.26111343751776617,-17.0,0.45161290322580644,0.0,0.0,False,False
act_data_pkt_fwd,1180,8.295762711864407,8.002000746294287,0.0,0.0,16.0,16.0,16.0,0.0,19.0,0.47966101694915253,69,8.304347826086957,1.1203564110195763,8.0,8.0,8.0,8.0,13.0,8.0,13.0,0.0,0.5152542372881356,0.0015026125296593107,-8.0,0.5,0.0,0.0,False,False
Total Fwd Packets,1180,11.46864406779661,10.108891866649744,1.0,1.0,19.0,21.0,24.0,1.0,32.0,0.0,69,14.681159420289855,1.324165076000049,14.0,14.0,14.0,15.0,20.0,14.0,20.0,0.0,0.4822033898305085,0.44561762593610016,-5.0,0.7368421052631579,0.0,0.0,False,False
Subflow Fwd Packets,1180,11.46864406779661,10.108891866649744,1.0,1.0,19.0,21.0,24.0,1.0,32.0,0.0,69,14.681159420289855,1.324165076000049,14.0,14.0,14.0,15.0,20.0,14.0,20.0,0.0,0.4822033898305085,0.44561762593610016,-5.0,0.7368421052631579,0.0,0.0,False,False
URG Flag Count,1180,0.4711864406779661,0.4991690883850839,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5288135593220339,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4711864406779661,1.33493493551232,0.0,,0.0,0.0,False,True
Down/Up Ratio,1180,0.9940677966101695,0.07679200708909874,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.005932203389830509,69,0.9717763611928372,0.04500075198295052,0.85,0.9333333333333333,1.0,1.0,1.0228571428571425,0.85,1.0714285714285714,0.0,0.3418938835666912,0.3541876550356704,0.0,1.0,36.231884057971016,36.231884057971016,False,False
Destination Port,1180,22.0,0.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.0,69,22.0,0.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.0,,,0.0,1.0,0.0,0.0,True,True
Protocol,1180,6.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,69,6.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,,,0.0,1.0,0.0,0.0,True,True
Bwd Packet Length Min,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,66.0,0.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,0.0,,,66.0,,100.0,100.0,True,True
Bwd PSH Flags,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,7.173913043478261,0.7010658911563957,7.0,7.0,7.0,7.0,10.0,7.0,10.0,0.0,,14.47145731856598,7.0,,100.0,100.0,True,False
Fwd URG Flags,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,True,True
Bwd URG Flags,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,True,True
Min Packet Length,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,66.0,0.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,0.0,,,66.0,,100.0,100.0,True,True
FIN Flag Count,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,,2.0,,100.0,100.0,True,True
RST Flag Count,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,True,True
CWE Flag Count,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,True,True
ECE Flag Count,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,True,True
Fwd Avg Bytes/Bulk,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,True,True
Fwd Avg Packets/Bulk,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,True,True
Fwd Avg Bulk Rate,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,True,True
Bwd Avg Bytes/Bulk,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,True,True
Bwd Avg Packets/Bulk,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,True,True
Bwd Avg Bulk Rate,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,True,True
Active Mean,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,True,True
Active Std,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,True,True
Active Max,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,True,True
Active Min,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,True,True
Idle Mean,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,True,True
Idle Std,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,True,True
Idle Max,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,True,True
Idle Min,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,True,True
