feature,canon_n,canon_median,canon_mean,canon_std,canon_p25,canon_p75,canon_p01,canon_p99,lab_n,lab_median,lab_mean,lab_std,lab_p25,lab_p75,abs_standardized_diff,median_diff,median_ratio,ks_statistic,pct_lab_outside_canon_iqr,pct_lab_outside_canon_p01_p99,canon_constant,lab_constant
Fwd Packet Length Max,31761,0.0,1.0539340700859545,2.8300997830289543,0.0,2.0,0.0,2.0,1362,58.0,58.0,0.0,58.0,58.0,28.45620470515154,58.0,,0.9995906929882561,100.0,100.0,False,True
Packet Length Mean,31761,2.0,3.0973251610170642,21.749850653839413,2.0,3.333333333,2.0,3.333333333,1362,58.0,58.18392070484582,0.30296042588846434,58.0,58.666666666666664,3.5814799445360044,56.0,29.0,0.9995906929882561,100.0,100.0,False,False
Average Packet Size,31761,3.0,4.465758582254841,23.991883176090596,3.0,5.0,3.0,5.0,1362,58.0,58.18392070484582,0.30296042588846434,58.0,58.666666666666664,3.1661915282748865,55.0,19.333333333333332,0.9995906929882561,100.0,100.0,False,False
PSH Flag Count,31761,1.0,0.999527722678757,0.021726810059805677,1.0,1.0,1.0,1.0,1362,0.0,0.0,0.0,0.0,0.0,65.059972333225,-1.0,0.0,0.999527722678757,100.0,100.0,False,True
Max Packet Length,31761,6.0,8.166273102232298,106.75374959476021,6.0,6.0,6.0,6.0,1362,58.0,58.5697503671072,0.9027099497599474,58.0,60.0,0.6676930140489716,52.0,9.666666666666666,0.9993702969050093,100.0,100.0,False,False
min_seg_size_forward,31761,40.0,32.05163565378924,8.00159636934489,24.0,40.0,24.0,40.0,1362,20.0,20.0,0.0,20.0,20.0,2.130023285811314,-20.0,0.5,0.9969144548345455,100.0,100.0,False,True
Packet Length Std,31761,3.464101615,3.6500828567449064,37.30673865843764,2.309401077,3.464101615,2.309401077,3.464101615,1362,0.0,0.27493861317559365,0.4443819615561549,0.0,0.9428090415820634,0.127934961605817,-3.464101615,0.0,0.9937344542048424,100.0,100.0,False,False
Packet Length Variance,31761,12.0,1405.1158539256055,69910.60240623048,5.333333333,12.0,5.333333333,12.0,1362,0.0,0.27306656877141466,0.5122698107754499,0.0,0.888888888888889,0.02841840371056022,-12.0,0.0,0.9937344542048424,100.0,100.0,False,False
Down/Up Ratio,31761,1.0,0.9931362362646012,0.08519063709866762,1.0,1.0,1.0,1.0,1362,0.0,0.1415810083210964,0.22463257649940796,0.0,0.5,5.012738429809331,-1.0,0.0,0.9929158401813545,100.0,100.0,False,False
Total Fwd Packets,31761,1.0,1.015522181291521,0.18956662336806432,1.0,1.0,1.0,1.0,1362,2.0,2.0051395007342143,0.0715058477777685,2.0,2.0,6.90769507170961,1.0,2.0,0.9911526715153804,100.0,100.0,False,False
Subflow Fwd Packets,31761,1.0,1.015522181291521,0.18956662336806432,1.0,1.0,1.0,1.0,1362,2.0,2.0051395007342143,0.0715058477777685,2.0,2.0,6.90769507170961,1.0,2.0,0.9911526715153804,100.0,100.0,False,False
Bwd Packets/s,31761,21276.59574,31873.660699643046,66281.59471530895,16393.44262,24390.2439,6578.947368,250000.0,1362,0.0,266.37544815450616,483.791992525728,0.0,530.5907999147771,0.6743691217517007,-21276.59574,0.0,0.9908063348131356,100.0,100.0,False,False
Flow Packets/s,31761,42553.19149,63760.333487451724,132557.34449847555,32786.88525,48780.4878,13157.89474,500000.0,1362,0.0,802.5562176704977,1455.2082707294865,0.0,1591.7723997443313,0.6716367033628858,-42553.19149,0.0,0.9903970278013916,100.0,100.0,False,False
Fwd Packets/s,31761,21276.59574,31886.672788115855,66275.8634321219,16393.44262,24390.2439,6605.088880800001,250000.0,1362,0.0,536.1807695159915,971.8193197310823,0.0,1061.1815998295542,0.6688939695675625,-21276.59574,0.0,0.9896527575794268,100.0,99.92657856093979,False,False
Total Backward Packets,31761,1.0,1.0039671294984416,0.10988430874043965,1.0,1.0,1.0,1.0,1362,0.0,0.28487518355359764,0.4513549748799737,0.0,1.0,2.1891617600351303,-1.0,0.0,0.7147155094346584,71.51248164464023,71.51248164464023,False,False
Subflow Bwd Packets,31761,1.0,1.0039671294984416,0.10988430874043965,1.0,1.0,1.0,1.0,1362,0.0,0.28487518355359764,0.4513549748799737,0.0,1.0,2.1891617600351303,-1.0,0.0,0.7147155094346584,71.51248164464023,71.51248164464023,False,False
Bwd Header Length,31761,20.0,20.19999370296905,4.001611872577342,20.0,20.0,20.0,20.0,1362,0.0,5.697503671071953,9.027099497599474,0.0,20.0,2.0770746080966216,-20.0,0.0,0.7146840242799088,71.51248164464023,71.51248164464023,False,False
Flow Bytes/s,31761,139534.8837,223948.68440081266,474506.1615591186,111111.1111,186046.5116,44978.116930000004,2000000.0,1362,0.0,47067.292028369964,85350.86594608103,0.0,93383.98078500078,0.5188489021331013,-139534.8837,0.0,0.7118818455072002,85.46255506607929,71.51248164464023,False,False
Total Length of Bwd Packets,31761,6.0,10.752085891502157,234.24330205832163,6.0,6.0,6.0,6.0,1362,0.0,17.09251101321586,27.081298492798425,0.0,60.0,0.03802620709607595,-6.0,0.0,0.7117873900429516,100.0,100.0,False,False
Bwd Packet Length Max,31761,6.0,8.143446365038884,106.74241112897937,6.0,6.0,6.0,6.0,1362,0.0,17.09251101321586,27.081298492798425,0.0,60.0,0.11492377502778349,-6.0,0.0,0.7117873900429516,100.0,100.0,False,False
Bwd Packet Length Mean,31761,6.0,6.839883295025661,42.72140807536576,6.0,6.0,6.0,6.0,1362,0.0,17.09251101321586,27.081298492798425,0.0,60.0,0.2866527847215923,-6.0,0.0,0.7117873900429516,100.0,100.0,False,False
Avg Bwd Segment Size,31761,6.0,6.839883295025661,42.72140807536576,6.0,6.0,6.0,6.0,1362,0.0,17.09251101321586,27.081298492798425,0.0,60.0,0.2866527847215923,-6.0,0.0,0.7117873900429516,100.0,100.0,False,False
Subflow Bwd Bytes,31761,6.0,10.752085891502157,234.24330205832163,6.0,6.0,6.0,6.0,1362,0.0,17.09251101321586,27.081298492798425,0.0,60.0,0.03802620709607595,-6.0,0.0,0.7117873900429516,100.0,100.0,False,False
Bwd Packet Length Min,31761,6.0,5.961839992443563,0.45091380585902696,6.0,6.0,6.0,6.0,1362,0.0,17.09251101321586,27.081298492798425,0.0,60.0,0.5811746573072619,-6.0,0.0,0.7107798650909665,100.0,100.0,False,False
Init_Win_bytes_forward,31761,29200.0,15281.913258398665,14102.211533298903,1024.0,29200.0,1024.0,29200.0,1362,1024.0,1024.0,0.0,1024.0,1024.0,1.4298278148469736,-28176.0,0.03506849315068493,0.5058090110512894,0.0,0.0,False,True
Fwd Header Length,31761,40.0,32.56119139825572,10.186778291206918,24.0,40.0,24.0,40.0,1362,40.0,40.10279001468429,1.4301169555553703,40.0,40.0,1.0368200461784436,0.0,1.0,0.49069613677151225,0.5139500734214391,0.5139500734214391,False,False
ACK Flag Count,31761,0.0,0.0004093070117439627,0.020227196531257118,0.0,0.0,0.0,0.0,1362,0.0,0.28487518355359764,0.4513549748799737,0.0,1.0,0.8904125567478132,0.0,,0.28446587654185373,28.487518355359764,28.487518355359764,False,False
Flow IAT Std,31761,0.0,48538.253227273075,1398674.2379184242,0.0,0.0,0.0,0.0,1362,0.0,0.00017964134277136115,0.00031330304296352143,0.0,0.00034937262535095215,0.04907751490155176,0.0,,0.2760278550689781,28.487518355359764,28.487518355359764,False,False
Destination Port,31761,3766.0,8606.039419413746,13422.249789622683,1126.0,8290.0,21.0,60443.0,1362,4897.5,4897.544052863436,2898.1401826430415,2302.5,7409.5,0.3819377219652532,1131.5,1.3004514073287308,0.18107112496457922,28.267254038179146,0.22026431718061676,False,False
Fwd IAT Total,31761,0.0,85875.08831585907,2432828.6722327103,0.0,0.0,0.0,0.0,1362,0.0,7.962165249951961e-06,0.00011237314329768974,0.0,0.0,0.049919550826223666,0.0,,0.008847328484619554,0.5139500734214391,0.5139500734214391,False,False
Fwd IAT Mean,31761,0.0,82974.70540600107,2420808.7755828993,0.0,0.0,0.0,0.0,1362,0.0,3.9810826249759805e-06,5.618657164884487e-05,0.0,0.0,0.04847303715064973,0.0,,0.008847328484619554,0.5139500734214391,0.5139500734214391,False,False
Fwd IAT Max,31761,0.0,85190.69147696861,2429518.1394371702,0.0,0.0,0.0,0.0,1362,0.0,7.962165249951961e-06,0.00011237314329768974,0.0,0.0,0.04958918779314861,0.0,,0.008847328484619554,0.5139500734214391,0.5139500734214391,False,False
Fwd IAT Min,31761,0.0,81527.8557665061,2419294.3183209137,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,0.04765761588536765,0.0,,0.008847328484619554,0.0,0.0,False,True
Init_Win_bytes_backward,31761,0.0,168.75759579358333,2207.3690932429117,0.0,0.0,0.0,0.0,1362,0.0,30.01468428781204,417.5941510221681,0.0,0.0,0.08734037167789536,0.0,,0.005793268473914592,0.5139500734214391,0.5139500734214391,False,False
Fwd IAT Std,31761,0.0,2128.9691283404427,125466.7785742798,0.0,0.0,0.0,0.0,1362,0.0,3.9810826249759805e-06,5.618657164884487e-05,0.0,0.0,0.02399692606884055,0.0,,0.0043134662006864,0.5139500734214391,0.5139500734214391,False,False
Fwd Packet Length Std,31761,0.0,0.03316360728490916,1.191572112797258,0.0,0.0,0.0,0.0,1362,0.0,0.009691135522869963,0.13483271962174165,0.0,0.0,0.027681572774401676,0.0,,0.003746733415194714,0.5139500734214391,0.5139500734214391,False,False
act_data_pkt_fwd,31761,0.0,0.0037467334151947357,0.06109578875757476,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,0.08672743765351454,0.0,,0.003746733415194714,0.0,0.0,False,True
Bwd IAT Total,31761,0.0,84627.02534554957,2429325.1697560954,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,0.04926499279591452,0.0,,0.002644752998960942,0.0,0.0,False,True
Bwd IAT Mean,31761,0.0,82949.99705771229,2421078.3170557274,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,0.04845320781712031,0.0,,0.002644752998960942,0.0,0.0,False,True
Bwd IAT Max,31761,0.0,84563.54044268127,2428465.7975033103,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,0.04924545608148001,0.0,,0.002644752998960942,0.0,0.0,False,True
Bwd IAT Min,31761,0.0,82028.17301092535,2419949.25166276,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,0.04793710227147508,0.0,,0.002644752998960942,0.0,0.0,False,True
Active Mean,31761,0.0,133.34841472245836,16791.912970164638,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,0.011230592783354792,0.0,,0.0019205944397217012,0.0,0.0,False,True
Active Max,31761,0.0,133.34841472245836,16791.912970164638,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,0.011230592783354792,0.0,,0.0019205944397217012,0.0,0.0,False,True
Active Min,31761,0.0,133.34841472245836,16791.912970164638,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,0.011230592783354792,0.0,,0.0019205944397217012,0.0,0.0,False,True
Idle Mean,31761,0.0,84876.35540442681,2429293.5571685303,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,0.049410781411549316,0.0,,0.0019205944397217012,0.0,0.0,False,True
Idle Max,31761,0.0,84876.35540442681,2429293.5571685303,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,0.049410781411549316,0.0,,0.0019205944397217012,0.0,0.0,False,True
Idle Min,31761,0.0,84876.35540442681,2429293.5571685303,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,0.049410781411549316,0.0,,0.0019205944397217012,0.0,0.0,False,True
Bwd Packet Length Std,31761,0.0,0.9340603106898396,45.72063622157739,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,0.028892003012604275,0.0,,0.0010075249519850837,0.0,0.0,False,True
Bwd IAT Std,31761,0.0,1507.065948139451,117137.24730738264,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,0.01819500758504807,0.0,,0.0006611882497402632,0.0,0.0,False,True
Protocol,31761,6.0,5.999622178143006,0.047610801217905806,6.0,6.0,6.0,6.0,1362,6.0,6.0,0.0,6.0,6.0,0.011222680161941678,0.0,1.0,6.297030949907119e-05,0.0,0.0,False,True
URG Flag Count,31761,0.0,3.1485154749535595e-05,0.005611075069411027,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,0.0079355083133619,0.0,,3.1485154749488764e-05,0.0,0.0,False,True
Fwd PSH Flags,31761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,True,True
Bwd PSH Flags,31761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,True,True
Fwd URG Flags,31761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,True,True
Bwd URG Flags,31761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,True,True
FIN Flag Count,31761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,True,True
SYN Flag Count,31761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362,2.0,2.0051395007342143,0.0715058477777685,2.0,2.0,39.65683317539763,2.0,,,100.0,100.0,True,False
RST Flag Count,31761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362,0.0,0.28487518355359764,0.4513549748799737,0.0,1.0,0.8925886953437409,0.0,,,28.487518355359764,28.487518355359764,True,False
CWE Flag Count,31761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,True,True
ECE Flag Count,31761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,True,True
Fwd Avg Bytes/Bulk,31761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,True,True
Fwd Avg Packets/Bulk,31761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,True,True
Fwd Avg Bulk Rate,31761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,True,True
Bwd Avg Bytes/Bulk,31761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,True,True
Bwd Avg Packets/Bulk,31761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,True,True
Bwd Avg Bulk Rate,31761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,True,True
Active Std,31761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,True,True
Idle Std,31761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,True,True
